ICA,PCA,MAPE,MAE,MSE,R^2
1,1,24.6739491792554,0.710421583001413,0.76466041069384,0.002045932683566
1,2,23.8308957454348,0.690639975651073,0.738854839500839,0.03572464073661
1,3,23.730607105639,0.686352820660244,0.735618271275534,0.03994866800338
1,4,23.668366187186,0.683135600676371,0.726181557369661,0.052264471061528
1,5,23.24974558533,0.671110035664853,0.708873120073257,0.074853616723148
1,6,23.199013836782,0.672173326629909,0.716837433509781,0.064459435363412
1,7,23.4666106401674,0.683209927027984,0.734282267189904,0.041692279536761
1,8,23.7057996927538,0.694437758930918,0.757724606705259,0.011097812058664
1,9,24.056176774989,0.703511306371704,0.77469018673311,-0.011043872480507
2,1,24.4114142847504,0.692126716585838,0.739902948894613,0.034356758971213
2,2,22.9893077984386,0.656913934288232,0.699352749508321,0.08727859962375
2,3,23.1666047951051,0.665197769413789,0.720119188078018,0.060176435650723
2,4,23.3243735840365,0.674159294451514,0.739497579174284,0.034885804748282
2,5,23.1842288599916,0.675793642649544,0.749882185641375,0.021332912357906
2,6,23.3738044217283,0.685787567667753,0.752281670239308,0.01820135829746
2,7,23.3041479802705,0.684440908923726,0.76167535058169,0.005941718104705
2,8,23.1718798181951,0.677556446594977,0.737168143393865,0.037925938484919
2,9,23.4168563509478,0.690122909470318,0.773483354092895,-0.009468841885188
3,1,23.3506914594443,0.661766620361758,0.701707636444949,0.084205249724092
3,2,22.890779683833,0.654376101959939,0.685795906556727,0.104971560282242
3,3,21.7525514983051,0.627159488434397,0.640058611492849,0.164663050777523
3,4,22.7111093670956,0.666025169101428,0.710126854478893,0.073217374893518
3,5,22.7391842657554,0.665546190642669,0.71754865358647,0.063531225980054
3,6,21.8106909846856,0.636759217237997,0.653030448376012,0.147733578299183
3,7,22.3709940656423,0.653099081324683,0.671651037038985,0.123431951155732
3,8,22.7067912264881,0.662420720708248,0.683649511353621,0.107772808775105
3,9,22.6354167361272,0.662882502965042,0.676254525038555,0.117423964461553
4,1,22.759556811981,0.663318230063218,0.685471011358442,0.105395579206258
4,2,20.9203400579168,0.61292194891384,0.607633094664504,0.206981413218077
4,3,19.99296156533,0.584402990545403,0.588354070744038,0.232142360569676
4,4,21.5885075573871,0.634038955097883,0.646628364416309,0.156088902620327
4,5,21.8015773917162,0.638305229643623,0.639200921006516,0.165782417881357
4,6,21.9551199768719,0.64045604969407,0.643760990459828,0.159831096491448
4,7,22.5189129605032,0.656453984181977,0.670114414355683,0.125437388909911
4,8,22.7820471403648,0.662698058811596,0.676166028556269,0.117539460730492
4,9,22.9612447651727,0.668543518514899,0.685218360393782,0.105725312581058
5,1,22.0423496513644,0.637134726942131,0.661028195862496,0.137295762346001
5,2,20.1986908553101,0.593139814179479,0.584945318221292,0.236591104609481
5,3,19.2473593411338,0.566297873289912,0.534354280681899,0.302617187529591
5,4,20.6542635712351,0.604777972639503,0.608454299615515,0.205909663184335
5,5,20.774220624108,0.604599935000438,0.595430312826582,0.222907196215891
5,6,21.5273585990103,0.62447973651288,0.626122824633538,0.182850569031391
5,7,22.3686283202711,0.648646440553782,0.660982184340454,0.137355811728607
5,8,23.0663707832112,0.667903817972445,0.694597421029805,0.093484752486109
5,9,23.5782860221483,0.677355946015393,0.707492361901593,0.076655636566365
6,1,20.7509748187626,0.600453107421994,0.608707491872696,0.205579223371665
6,2,18.496926795004,0.551464904947838,0.534300397996463,0.302687509523951
6,3,18.6131757607276,0.550294220955309,0.520953038734936,0.320107074178655
6,4,19.7210443213262,0.574781569010437,0.54549039050107,0.288083512276232
6,5,20.521736673702,0.595620908106375,0.589990300892486,0.23000692566436
6,6,21.4634165307287,0.621104383104473,0.617104184551223,0.194620746257701
6,7,22.736644011532,0.657542715095962,0.674813764652268,0.119304292862783
6,8,23.4828849416,0.678398276207137,0.702499073324462,0.083172349835606
6,9,23.9944804643635,0.691542888087971,0.722053636323745,0.057651797958176
7,1,19.8777699311508,0.582028166078587,0.590643408045445,0.229154559135932
