ICA,PCA,MAPE,MAE,MSE,R^2
3,10,21.9713390143831,0.645396973398054,0.680301346823913,0.112142479760733
3,11,21.4870714347397,0.633141080321849,0.668951291434462,0.126955374193035
3,12,21.6119337112502,0.639266817563914,0.668231678339992,0.12789453725742
3,13,21.8169987388106,0.64723331733353,0.681376698406517,0.11073904436556
3,14,21.8922868422183,0.645446842237698,0.680286092369631,0.112162388264538
3,15,21.8345228028798,0.644253117171826,0.676314969702796,0.117345078464995
3,16,21.9429626295298,0.653103445640465,0.685568628579171,0.105268179512088
3,17,22.2809624632206,0.658194464150299,0.694096912980886,0.094137962768946
3,18,21.5492092652919,0.634509321351078,0.648474245956524,0.153679852844663
3,19,21.489341769397,0.631040357667572,0.639807719497295,0.164990488531483
3,20,21.6335130430325,0.635945084997881,0.645173867952508,0.157987157900251
3,21,21.83796375895,0.640810181347902,0.655929735910057,0.143949734194721
3,22,21.9299345722503,0.642185188024599,0.658850692339259,0.14013761013519
3,23,22.0886956575106,0.647458649523487,0.6562430826901,0.143540787047396
3,24,22.2242937736264,0.652790445197981,0.658459176674149,0.140648575061516
3,25,22.5616375659457,0.661719034215394,0.670218349939159,0.12530174315551
3,26,23.5690509784043,0.696982387725717,0.739078220186593,0.035433107840712
3,27,22.6498219310681,0.663256328264811,0.676604701361344,0.116966951281954
3,28,22.8265493421257,0.667648424188508,0.678660203570804,0.114284326731734
3,29,23.0141457252891,0.672787439274371,0.686739918516387,0.103739535501617
4,10,20.2992830396674,0.609279551050563,0.616391888815606,0.19555035947757
4,11,20.2103809923006,0.610746878423186,0.603590855701626,0.212256916902658
4,12,20.4805029160767,0.61999145516672,0.627721552452595,0.180764078208475
4,13,20.5213053241034,0.61424211487554,0.622107983954198,0.188090315367859
4,14,20.5639857317473,0.611280555353549,0.623033604303854,0.186882293375598
4,15,20.8054129193352,0.61854199627421,0.637758236820125,0.167665257023449
4,16,21.2987732651616,0.631177060001884,0.654647670527836,0.145622950624994
4,17,21.6353394494537,0.643461211876015,0.668846096139562,0.12709266398984
4,18,22.0053430676668,0.65410572597669,0.691406294509613,0.097649474035191
4,19,22.0086403332758,0.650969344019861,0.688195432457192,0.101839952318091
4,20,21.6519514442672,0.642885266620928,0.664983079390421,0.132134265755803
4,21,21.9807406665995,0.650472280952091,0.674337970583268,0.119925249067293
4,22,21.7804063636589,0.64510756333602,0.659052145887745,0.139874694224708
4,23,22.2117103695759,0.655814050614595,0.678583205713494,0.114384816208896
4,24,22.0706694709143,0.650741826178551,0.665540026136921,0.13140739764131
4,25,22.1583319411895,0.649580126624385,0.674258752623085,0.12002863598842
4,26,22.2612453960383,0.651305725273077,0.673167210311136,0.121453201814796
4,27,22.4078050267171,0.655209089950503,0.672799433270903,0.121933185593259
4,28,22.547151115873,0.661566047354072,0.677695195651332,0.115543753223235
4,29,22.3442058410005,0.652352551883709,0.667895949312811,0.12833269535153
